city,latitude,longitude,population,area
Budapest,47.4979,19.0402,1752286,525
Debrecen,47.5316,21.6273,202402,461
Szeged,46.253,20.1414,160766,280
Pécs,46.0727,18.2323,145347,162
Győr,47.6875,17.6504,131267,174
Miskolc,48.1031,20.7784,151025,236
Nyíregyháza,47.9495,21.7247,119746,274
Kecskemét,46.8964,19.6897,110687,321
Székesfehérvár,47.186,18.4221,96170,170
Eger,47.9025,20.3772,53696,92
Veszprém,47.0928,17.9093,58763,126
Tatabánya,47.5883,18.3973,66124,91
Salgótarján,48.1042,19.8033,32133,102
Kaposvár,46.3597,17.7952,60300,113
